,0
341,1027680.0
342,828777.0
343,152940.0
344,1712858.0
345,631710.0
346,1364816.0
347,600000.0
348,1808790.0
349,600000.0
350,353684.0
351,507036.0
352,1289859.0
353,1125549.0
354,672000.0
355,212832.0
356,994668.0
357,673381.0
358,515829.0
359,886464.0
360,1352802.0
361,1208801.0
362,800000.0
363,1330194.0
364,245202.0
365,1097825.0
366,346752.0
367,361124.0
368,1062087.0
369,1306364.0
370,203280.0
371,1221714.0
372,1512273.0
373,1333764.0
374,2992992.0
375,876076.0
376,828777.0
377,1216776.0
378,659508.0
379,521474.0
380,590820.0
381,1394897.0
382,1244206.0
383,561186.0
384,372000.0
385,180876.0
386,795550.0
387,315708.0
388,1070536.0
389,800000.0
390,1881045.0
391,465742.0
392,396600.0
393,295114.0
394,644153.0
395,240871.0
396,346353.0
397,1572363.0
398,675000.0
399,502442.0
400,1326444.0
401,642322.0
402,1007334.0
403,1220411.0
404,371397.0
405,302448.0
406,1253863.0
407,1070536.0
408,712525.0
409,692424.0
410,702283.0
411,1832052.0
412,214548.0
413,200979.0
414,2025552.0
415,421444.0
416,800000.0
417,615475.0
418,300000.0
419,574259.0
420,2197572.0
421,374688.0
422,1343505.0
423,458425.0
424,468864.0
425,600676.0
426,870393.0
427,1159497.0
428,1068564.0
429,1932460.0
430,633866.0
431,1347252.0
432,733769.0
433,1244376.0
434,378396.0
435,524564.0
436,395258.0
437,1547487.0
438,515323.0
439,374330.0
440,835202.0
441,813912.0
442,650865.0
443,1472465.0
444,730063.0
445,508113.0
446,914961.0
447,604404.0
448,369857.0
449,683642.0
450,504488.0
451,805867.0
452,2006522.0
453,635113.0
454,511122.0
455,648838.0
456,725180.0
457,900000.0
458,1465641.0
459,733769.0
460,825077.0
461,502212.0
462,791011.0
463,419172.0
464,1016376.0
465,619354.0
466,338796.0
467,939843.0
468,515940.0
469,644930.0
470,912580.0
471,196834.0
472,1181838.0
473,412152.0
474,605388.0
475,604401.0
476,1628952.0
477,837753.0
478,364638.0
479,100490.0
480,2141072.0
481,564107.0
482,637252.0
483,1929406.0
484,257972.0
485,1104293.0
486,2411749.0
487,746629.0
488,132868.0
489,3132009.0
490,1059420.0
491,1249434.0
492,610857.0
493,1904025.0
494,300000.0
495,652800.0
496,1812949.0
497,386952.0
498,1637231.0
499,322465.0
500,442476.0
501,500000.0
502,1254401.0
503,337236.0
504,1677629.0
505,1507325.0
506,429953.0
507,872604.0
508,515944.0
509,149184.0
510,135516.0
511,1070976.0
512,1507343.0
513,305881.0
514,1917053.0
515,817056.0
516,250815.0
517,765180.0
518,652120.0
519,401958.0
520,554844.0
521,977371.0
522,1967502.0
523,996481.0
524,2106848.0
525,929931.0
526,2143501.0
527,180000.0
528,144000.0
529,1098034.0
530,1855822.0
531,1490281.0
532,458749.0
533,1041195.0
534,128988.0
535,2903556.0
536,1687111.0
537,856429.0
538,786181.0
539,1574844.0
540,1471807.0
541,246576.0
542,983196.0
543,363231.0
544,208032.0
545,120000.0
546,930041.0
547,1649524.0
548,306968.0
549,2485970.0
550,898351.0
551,232105.0
552,500000.0
553,1994432.0
554,1226327.0
555,515940.0
556,305881.0
557,293208.0
558,509801.0
559,649944.0
560,1121437.0
561,176172.0
562,2046452.0
563,1498750.0
564,311052.0
565,957009.0
566,3014651.0
567,1200000.0
568,1000000.0
569,237117.0
570,634632.0
571,1145314.0
572,468651.0
573,733769.0
574,1859109.0
575,2474429.0
576,187728.0
577,894949.0
578,203280.0
579,575502.0
580,1506828.0
581,411680.0
582,1359901.0
583,204144.0
584,1816155.0
585,444728.0
586,1000000.0
587,371748.0
588,1329533.0
589,1330683.0
590,249888.0
591,790515.0
592,700000.0
593,120000.0
594,1240055.0
595,380088.0
596,425761.0
597,598284.0
598,735354.0
599,591185.0
600,1138712.0
601,1077564.0
602,2371168.0
603,464246.0
604,1074883.0
605,2054761.0
606,840000.0
607,2315641.0
608,917271.0
609,734390.0
610,306968.0
611,641727.0
612,499776.0
613,4081319.36
614,1300000.0
615,1392815.0
616,1611735.0
617,134964.0
618,1357204.0
619,151764.0
620,519072.0
621,185388.0
622,1450359.0
623,517757.0
624,1139800.0
625,1027381.0
626,1031892.0
627,303816.0
628,732816.0
629,677916.0
630,821904.0
631,873273.0
632,2452654.0
633,446076.0
634,3468540.0
635,2148775.0
636,466187.0
637,1039792.0
638,604404.0
